Model,Series_Name,RAM_GB,ROM_GB
Note 20 ultra,Samsumg Galaxy,8,256
S20 ultra,Samsumg Galaxy,12,128
S20+,Samsumg Galaxy,8,128
Lite,Samsumg Galaxy,6,128
A51,Samsumg Galaxy,6,128
A71,Samsumg Galaxy,8,128
A70,Samsumg Galaxy,6,128
A70,Samsumg Galaxy,6,128
A51,Samsumg Galaxy,6,128
M30s,Samsumg Galaxy,6,128
M30s,Samsumg Galaxy,6,128
F41,Samsumg Galaxy,6,64
M31,Samsumg Galaxy,6,64
M31,Samsumg Galaxy,6,128
A20s,Samsumg Galaxy,3,64
A20s,Samsumg Galaxy,3,32
A10s,Samsumg Galaxy,2,32
A10s,Samsumg Galaxy,2,32
A01,Samsumg Galaxy,2,16
metro 350,Samsumg Metro,0,0
metro 313,Samsumg Metro,0,0
